"fullname","trial"
"CPS_W_06_20190606_C2",3
"CPS_W_06_20190606_C2",4
"CPS_W_06_20190606_C2",5
"CPS_W_07_20190606_C2",3
"CPS_W_08_20190606_C2",1
"CPS_W_08_20190606_C2",3
"CPS_W_10_20190604_C2",2
"CPS_W_10_20190604_C2",4
"CPS_W_11_20190613_C2",2
"CPS_W_11_20190613_C2",4
"CPS_W_15_20190613_C2",2
"CPS_W_15_20190613_C2",3
"CPS_W_17_20190611_C2",1
"CPS_W_18_20190614_C2",1
"CPS_W_18_20190614_C2",2
"DE_01_B_High_20190530_C2",1
"DE_01_B_High_20190530_C2",4
"DE_01_D_High_20190518_C2",1
"DE_01_D_High_20190518_C2",2
"DE_01_D_Low_20190617_C2",1
"DE_01_D_Low_20190617_C2",2
"DE_01_D_Low_20190617_C2",4
"DE_02_A_High_20190531_C2",1
"DE_02_B_High_2_20190529_C2",2
"DE_02_B_High_2_20190529_C2",3
"DE_02_B_High_2_20190529_C2",5
"DE_02_B_Low_20190623_C2",2
"DE_02_C_High_20190526_C2",1
"DE_02_C_High_20190526_C2",2
"DE_02_C_Low_20190618_C2",2
"DE_02_C_Low_20190618_C2",4
"DE_02_D_High_20190519_C2",2
"DE_03_A_High_20190524_C2",4
"DE_03_A_Low_20190619_C2",1
"DE_03_A_Low_20190619_C2",3
"DE_03_A_Low_20190619_C2",6
"DE_03_D_High_20190527_C2",3
"DE_04_A_High_20190528_C2",3
"DE_04_A_High_20190528_C2",4
"DE_04_C_High_20190518_C2",2
"DE_04_C_High_20190518_C2",4
"DE_04_C_High_20190518_C2",5
"DE_04_D_High_20190526_C2",1
"DE_04_D_High_20190526_C2",2
"DE_04_D_Low_20190622_C1",3
"DE_04_D_Low_20190622_C1",4
"DE_04_D_Low_20190622_C1",5
"DE_05_A_High_20190529_C2",2
"DE_05_A_Low_20190630_C2",2
"DE_05_C_Low_20190618_C2",3
"DE_05_D_High_20190527_C2",5
"DE_05_D_Low_20190624_C2",2
"DE_W_01_20190604_C2",3
"DE_W_03_20190605_C2",2
"DE_W_03_20190605_C2",3
"DE_W_09_20190612_C2",2
"DE_W_10_20190613_C2",2
"DE_W_10_20190613_C2",3
"DE_W_10_20190613_C2",4
"DE_W_11_20190612_C2",3
"DE_W_11_20190612_C2",4
"DE_W_12_20190613_C2",2
"DE_W_13_20190613_C2",4
"DT_02_B_Low_20190617_C2",2
"DT_02_B_Low_20190617_C2",3
"DT_02_B_Low_20190617_C2",4
"DT_02_C_Low_20190630_C2",1
"DT_02_C_Low_20190630_C2",3
"DT_02_D_High_20190526_C1",1
"DT_02_D_High_20190526_C1",3
