fullname,trial,frame_indexed_0,start_of_trial_indexed_0,difference,verification
CPS_01_A_High_20190518_C2,5,1122,1031,91,
CPS_01_D_High_20190526_C2,2,250,191,59,
CPS_01_D_High_20190526_C2,3,445,407,38,
CPS_03_A_High_20190525_C2,2,257,151,106,ok
CPS_03_A_Low_20190622_C1,2,286,214,72,
CPS_03_A_Low_20190622_C1,3,513,429,84,
CPS_03_B_High_20190528_C2,3,323,251,72,
CPS_03_C_High_20190518_C2,1,114,0,114,ok
CPS_03_C_Low_20190617_C2,3,474,431,43,
CPS_03_C_Low_20190617_C2,4,642,612,30,
CPS_03_D_Low_20190629_C2,3,432,391,41,
CPS_04_A_High_20190527_C2,2,312,303,9,
CPS_04_B_Low_20190624_C2,2,323,216,107,ok
CPS_04_B_Low_20190624_C2,3,515,506,9,
CPS_04_B_Low_20190624_C2,5,1013,969,44,
CPS_04_C_Low_20190630_C2,2,176,162,14,
CPS_04_C_Low_20190630_C2,3,363,314,49,
CPS_04_D_High_20190519_C2,3,552,483,69,
CPS_04_D_High_20190523_C2,1,137,0,137,ok
CPS_04_D_High_20190523_C2,2,435,407,28,
CPS_04_D_High_20190523_C2,3,785,710,75,
CPS_04_D_Low_20190618_C2,1,30,0,30,
CPS_05_A_High_20190524_C2,6,1245,1206,39,
CPS_05_A_High_20190524_C2,7,1525,1421,104,ok
CPS_05_A_Low_20190619_C2,1,27,0,27,
CPS_05_A_Low_20190619_C2,4,846,838,8,
CPS_05_C_High_20190527_C2,1,22,0,22,
CPS_05_C_High_20190527_C2,3,404,336,68,
CPS_05_D_High_20190601_C2,3,415,402,13,
CPS_06_A_Low_20190623_C2,3,244,172,72,
CPS_06_D_High_20190526_C1,1,114,0,114,ok
CPS_06_D_High_20190526_C1,3,723,586,137,ok
CPS_06_D_High_20190526_C1,6,1411,1360,51,
CPS_06_D_High_20190526_C1,7,1691,1680,11,
CPS_06_D_Low_20190618_C2,1,75,0,75,
CPS_W_02_20190604_C2,1,7,0,7,
CPS_W_02_20190604_C2,3,422,371,51,
CPS_W_04_20190605_C2,1,44,0,44,
CPS_W_04_20190605_C2,3,402,374,28,
CPS_W_05_20190605_C2,2,315,213,102,ok
CPS_W_05_20190605_C2,3,508,473,35,
CPS_W_06_20190606_C2,3,200,169,31,
CPS_W_06_20190606_C2,4,299,258,41,
CPS_W_06_20190606_C2,5,380,353,27,
CPS_W_07_20190606_C2,3,312,262,50,
CPS_W_08_20190606_C2,1,54,0,54,
CPS_W_08_20190606_C2,3,306,263,43,
CPS_W_10_20190604_C2,2,233,166,67,
CPS_W_10_20190604_C2,4,552,532,20,
CPS_W_11_20190613_C2,2,185,150,35,
CPS_W_11_20190613_C2,4,533,499,34,
CPS_W_15_20190613_C2,2,252,227,25,
CPS_W_15_20190613_C2,3,494,427,67,
CPS_W_17_20190611_C2,1,9,0,9,
CPS_W_18_20190614_C2,1,49,0,49,
CPS_W_18_20190614_C2,2,234,188,46,
DE_01_B_High_20190530_C2,1,34,0,34,
DE_01_B_High_20190530_C2,4,566,517,49,
DE_01_D_High_20190518_C2,1,44,0,44,
DE_01_D_High_20190518_C2,2,394,322,72,
DE_01_D_Low_20190617_C2,1,27,0,27,
DE_01_D_Low_20190617_C2,2,262,231,31,
DE_01_D_Low_20190617_C2,4,778,744,34,
DE_02_A_High_20190531_C2,1,73,0,73,
DE_02_B_High_2_20190529_C2,2,315,284,31,
DE_02_B_High_2_20190529_C2,3,563,523,40,
DE_02_B_High_2_20190529_C2,5,1046,986,60,
DE_02_B_Low_20190623_C2,2,194,152,42,
DE_02_C_High_20190526_C2,1,37,0,37,
DE_02_C_High_20190526_C2,2,222,168,54,
DE_02_C_Low_20190618_C2,2,301,288,13,
DE_02_C_Low_20190618_C2,4,643,604,39,
DE_02_D_High_20190519_C2,2,370,285,85,
DE_03_A_High_20190524_C2,4,595,567,28,
DE_03_A_Low_20190619_C2,1,61,0,61,
DE_03_A_Low_20190619_C2,3,547,508,39,
DE_03_A_Low_20190619_C2,6,1429,1410,19,
DE_03_D_High_20190527_C2,3,413,352,61,
DE_04_A_High_20190528_C2,3,613,537,76,
DE_04_A_High_20190528_C2,4,824,810,14,
DE_04_C_High_20190518_C2,2,258,234,24,
DE_04_C_High_20190518_C2,4,817,774,43,
DE_04_C_High_20190518_C2,5,1093,1073,20,
DE_04_D_High_20190526_C2,1,40,0,40,
DE_04_D_High_20190526_C2,2,235,192,43,
DE_04_D_Low_20190622_C1,3,512,304,208,ok
DE_04_D_Low_20190622_C1,4,756,645,111,ok
DE_04_D_Low_20190622_C1,5,951,846,105,ok
DE_05_A_High_20190529_C2,2,299,219,80,
DE_05_A_Low_20190630_C2,2,222,176,46,
DE_05_C_Low_20190618_C2,3,269,264,5,
DE_05_D_High_20190527_C2,5,813,640,173,ok
DE_05_D_Low_20190624_C2,2,202,153,49,
DE_W_01_20190604_C2,3,426,388,38,
DE_W_03_20190605_C2,2,197,177,20,
DE_W_03_20190605_C2,3,401,369,32,
DE_W_09_20190612_C2,2,115,103,12,
DE_W_10_20190613_C2,2,268,249,19,
DE_W_10_20190613_C2,3,456,426,30,
DE_W_10_20190613_C2,4,603,603,0,
DE_W_11_20190612_C2,3,208,197,11,
DE_W_11_20190612_C2,4,366,328,38,
DE_W_12_20190613_C2,2,216,209,7,
DE_W_13_20190613_C2,4,454,420,34,
DT_02_B_Low_20190617_C2,2,302,272,30,
DT_02_B_Low_20190617_C2,3,552,497,55,
DT_02_B_Low_20190617_C2,4,782,761,21,
DT_02_C_Low_20190630_C2,1,31,0,31,
DT_02_C_Low_20190630_C2,3,302,269,33,
DT_02_D_High_20190526_C1,1,160,0,160,ok
DT_02_D_High_20190526_C1,3,624,615,9,
DT_02_D_High_20190526_C1,5,1221,1118,103,ok
DT_02_D_High_20190526_C1,6,1809,1598,211,ok
DT_02_D_Low_20190623_C2,4,418,398,20,
DT_03_A_High_20190525_C2,1,57,0,57,
DT_03_A_High_20190525_C2,5,1095,1073,22,
DT_03_A_Low_20190619_C2,1,67,0,67,
DT_03_A_Low_20190619_C2,3,592,585,7,
DT_03_A_Low_20190619_C2,6,1400,1377,23,
DT_03_A_Low_20190619_C2,7,1724,1636,88,
DT_03_C_Low_20190702_C2,2,191,144,47,
DT_03_D_High_20190530_C2,1,21,0,21,
DT_03_D_Low_20190701_C2,2,293,191,102,ok
DT_04_A_High_20190526_C2,2,367,297,70,
DT_04_A_High_20190526_C2,3,810,698,112,ok
DT_04_A_High_20190526_C2,6,1679,1619,60,
DT_04_B_High_20190528_C2,3,569,522,47,
DT_04_C_High_20190518_C2,1,99,0,99,
DT_04_C_High_20190518_C2,2,319,274,45,
DT_04_C_High_20190518_C2,3,576,538,38,
DT_04_C_Low_20190617_C2,2,313,235,78,
DT_04_D_High_20190531_C2,1,73,0,73,
DT_04_D_High_20190531_C2,4,528,487,41,
DT_05_A_High_20190531_C2,4,445,435,10,
DT_05_C_High_20190527_C2,3,429,409,20,
DT_05_D_High_20190530_C2,1,34,0,34,
DT_06_A_High_20190527_C2,1,30,0,30,
DT_06_A_High_20190527_C2,5,896,725,171,ok
DT_06_A_High_20190527_C2,6,1123,1111,12,
DT_06_B_High_20190529_C2,1,18,0,18,
DT_06_B_High_20190529_C2,2,289,234,55,
DT_06_C_High_20190519_C2,2,179,125,54,
DT_06_C_High_20190519_C2,3,312,301,11,
DT_06_C_Low_20190618_C2,1,33,0,33,
DT_06_D_Low_20190702_C2,1,34,0,34,
DT_W_01_20190604_C2,2,244,188,56,
DT_W_01_20190604_C2,5,856,816,40,
DT_W_02_20190604_C2,1,35,0,35,
DT_W_02_20190604_C2,2,265,197,68,
DT_W_03_20190605_C2,2,232,208,24,
DT_W_04_20190605_C2,2,171,143,28,
DT_W_04_20190605_C2,3,305,294,11,
DT_W_05_20190605_C2,2,213,190,23,
DT_W_05_20190605_C2,4,655,615,40,
DT_W_07_20190606_C2,5,644,507,137,ok
DT_W_08_20190607_C2,2,270,204,66,
DT_W_08_20190607_C2,4,657,621,36,
DT_W_11_20190611_C2,2,407,332,75,
DT_W_14_20190612_C2,1,63,0,63,
DT_W_20_20190613_C2,1,49,0,49,
E1_01_A_High_20190530_C2,3,309,249,60,
E1_01_A_Low_20190701_C2,2,316,249,67,
E1_01_B_High_20190524_C2,2,179,168,11,
E1_01_B_Low_20190619_C2,4,821,736,85,
E1_01_C_High_20190601_C2,1,13,0,13,
E1_01_C_High_20190601_C2,4,617,573,44,
E1_02_A_High_20190528_C2,2,346,262,84,
E1_02_A_High_20190528_C2,3,746,702,44,
E1_02_C_High_20190518_C2,1,66,0,66,
E1_02_C_High_20190518_C2,3,546,503,43,
E1_02_C_Low_20190617_C2,1,36,0,36,
E1_02_C_Low_20190617_C2,2,331,212,119,ok
E1_02_D_High_20190525_C2,3,546,464,82,
E1_02_D_Low_20190622_C2,2,178,157,21,
E1_02_D_Low_20190622_C2,3,329,289,40,
